Ano,Mês,UF do Produto,Países,Bloco Econômico,Via,URF,Código NCM,Descrição NCM,Código SH6,Descrição SH6,Código SH4,Descrição SH4,Código SH2,Descrição SH2,Código Seção,Descrição Seção,Unidade estatística,Valor US$ FOB,Quilograma Líquido,Quantidade Estatística
2024,10. Outubro,Rio Grande do Norte,Argentina,América do Sul,RODOVIARIA,0927900 - ALF - DIONÍSIO CERQUEIRA,8071900,Melões frescos,80719,Melões frescos,807,"Melões, melancias e papaias (mamões), frescos",8,Frutas; cascas de frutos cítricos e de melões,II,Produtos do reino vegetal,QUILOGRAMA LIQUIDO,108964,136862,136862
2024,10. Outubro,Rio Grande do Norte,Arábia Saudita,Oriente Médio,MARITIMA,0817800 - PORTO DE SANTOS,76020000,"Desperdícios e resíduos, de alumínio",760200,"Desperdícios e resíduos, de alumínio",7602,"Desperdícios e resíduos, de alumínio",76,Alumínio e suas obras,XV,Metais comuns e suas obras,QUILOGRAMA LIQUIDO,40367,22678,22678
2024,10. Outubro,Rio Grande do Norte,Austrália,Oceania,MARITIMA,0817800 - PORTO DE SANTOS,3061110,"Lagostas (Palinurus spp., Panulirus spp., Jasus spp.) inteiras, congeladas",30611,Lagostas congeladas,306,"Crustáceos, mesmo sem casca, vivos, frescos, refrigerados, congelados, secos, salgados ou em salmoura; crustáceos com casca, cozidos em água ou vapor, mesmo refrigerados, congelados, secos, salgados ou em salmoura; farinhas, pó e pellets de crustáceos, pr",3,"Peixes e crustáceos, moluscos e outros invertebrados aquáticos",I,Animais vivos e produtos do reino animal,QUILOGRAMA LIQUIDO,23491,1160,1160
2024,10. Outubro,Rio Grande do Norte,Austrália,Oceania,MARITIMA,0817800 - PORTO DE SANTOS,3061190,"Outras lagostas (Palinurus spp., Panulirus spp., Jasus spp.), congeladas, exceto as inteiras",30611,Lagostas congeladas,306,"Crustáceos, mesmo sem casca, vivos, frescos, refrigerados, congelados, secos, salgados ou em salmoura; crustáceos com casca, cozidos em água ou vapor, mesmo refrigerados, congelados, secos, salgados ou em salmoura; farinhas, pó e pellets de crustáceos, pr",3,"Peixes e crustáceos, moluscos e outros invertebrados aquáticos",I,Animais vivos e produtos do reino animal,QUILOGRAMA LIQUIDO,650,18,18
2024,10. Outubro,Rio Grande do Norte,Austrália,Oceania,MARITIMA,0817800 - PORTO DE SANTOS,17049020,"Caramelos, confeitos, dropes, pastilhas, e produtos semelhantes, sem cacau",170490,"Outros produtos de confeitaria, sem cacau",1704,Produtos de confeitaria sem cacau (incluído o chocolate branco),17,Açúcares e produtos de confeitaria,IV,"Produtos das indútrias alimentares; Bebidas, líquidos alcoólicos e vinagres; Tabaco e seus sucedâneos manufaturados",QUILOGRAMA LIQUIDO,19210,11040,11040
2024,10. Outubro,Rio Grande do Norte,Austrália,Oceania,MARITIMA,0927700 - PORTO DE SAO FRANCISCO DO SUL,3061110,"Lagostas (Palinurus spp., Panulirus spp., Jasus spp.) inteiras, congeladas",30611,Lagostas congeladas,306,"Crustáceos, mesmo sem casca, vivos, frescos, refrigerados, congelados, secos, salgados ou em salmoura; crustáceos com casca, cozidos em água ou vapor, mesmo refrigerados, congelados, secos, salgados ou em salmoura; farinhas, pó e pellets de crustáceos, pr",3,"Peixes e crustáceos, moluscos e outros invertebrados aquáticos",I,Animais vivos e produtos do reino animal,QUILOGRAMA LIQUIDO,6386,320,320
2024,10. Outubro,Rio Grande do Norte,Austrália,Oceania,MARITIMA,0927700 - PORTO DE SAO FRANCISCO DO SUL,17049020,"Caramelos, confeitos, dropes, pastilhas, e produtos semelhantes, sem cacau",170490,"Outros produtos de confeitaria, sem cacau",1704,Produtos de confeitaria sem cacau (incluído o chocolate branco),17,Açúcares e produtos de confeitaria,IV,"Produtos das indútrias alimentares; Bebidas, líquidos alcoólicos e vinagres; Tabaco e seus sucedâneos manufaturados",QUILOGRAMA LIQUIDO,42336,23520,23520
2024,10. Outubro,Rio Grande do Norte,Bahamas,América Central e Caribe,MARITIMA,0420154 - IRF NATAL,27101911,Querosenes de aviação,271019,"Outros óleos de petróleo ou de minerais betuminosos e preparações, exceto desperdícios",2710,"Óleos de petróleo ou de minerais betuminosos, exceto óleos brutos; preparações não especificadas nem compreendidas noutras posições, contendo, em peso, 70 % ou mais de óleos de petróleo ou de minerais betuminosos, os quais devem constituir o seu elemento",27,"Combustíveis minerais, óleos minerais e produtos da sua destilação; matérias betuminosas; ceras minerais",V,Produtos minerais,METRO CUBICO,14876,11338,14
2024,10. Outubro,Rio Grande do Norte,Bolívia,América do Sul,RODOVIARIA,0147600 - ALF - CORUMBÁ,52092200,"Tecidos de algodão que contenham pelo menos 85 %, em peso, de algodão, com peso superior a 200 g/m2, branqueados, em ponto sarjado, incluindo o diagonal, cuja relação de textura não seja superior a 4",520922,"Tecido de algodão branqueado, em ponto sarjado, contendo => 85% em peso de algodão, com peso > 200 g/m2",5209,"Tecidos de algodão, contendo pelo menos 85 %, em peso, de algodão, com peso superior a 200 g/m2",52,Algodão,XI,Matérias têxteis e suas obras,QUILOGRAMA LIQUIDO,25625,3682,3682
2024,10. Outubro,Rio Grande do Norte,Bolívia,América do Sul,RODOVIARIA,0147600 - ALF - CORUMBÁ,52092900,"Outros tecidos de algodão que contenham pelo menos 85 %, em peso, de algodão, com peso superior a 200 g/m2, branqueados",520929,"Outros tecidos de algodão branqueado, contendo => 85% em peso de algodão, com peso > 200 g/m2",5209,"Tecidos de algodão, contendo pelo menos 85 %, em peso, de algodão, com peso superior a 200 g/m2",52,Algodão,XI,Matérias têxteis e suas obras,QUILOGRAMA LIQUIDO,2700,458,458
2024,10. Outubro,Rio Grande do Norte,Bolívia,América do Sul,RODOVIARIA,0147600 - ALF - CORUMBÁ,52093200,"Tecidos de algodão que contenham pelo menos 85 %, em peso, de algodão, com peso superior a 200 g/m2, branqueados, em ponto sarjado, incluindo o diagonal, cuja relação de textura não seja superior a 4",520932,"Tecido de algodão tinto, em ponto sarjado, contendo => 85% em peso de algodão, com peso > 200 g/m2",5209,"Tecidos de algodão, contendo pelo menos 85 %, em peso, de algodão, com peso superior a 200 g/m2",52,Algodão,XI,Matérias têxteis e suas obras,QUILOGRAMA LIQUIDO,89549,12877,12877
